label,metric,step,value,rolling_value
Tent+SAFER-A (0%),batch_acc,11,76.5625,81.51041666666667
Tent+SAFER-A (0%),batch_acc,12,87.5,81.97115384615384
Tent+SAFER-A (0%),batch_acc,13,87.5,82.36607142857143
Tent+SAFER-A (0%),batch_acc,14,82.8125,82.39583333333333
Tent+SAFER-A (0%),batch_acc,15,87.5,82.71484375
Tent+SAFER-A (0%),batch_acc,16,90.625,83.18014705882354
Tent+SAFER-A (0%),batch_acc,17,82.8125,83.15972222222223
Tent+SAFER-A (0%),batch_acc,18,89.0625,83.47039473684211
Tent+SAFER-A (0%),batch_acc,19,87.5,83.671875
Tent+SAFER-A (0%),batch_acc,20,82.8125,83.63095238095238
Tent+SAFER-A (0%),batch_acc,21,84.375,83.66477272727273
Tent+SAFER-A (0%),batch_acc,22,87.5,83.83152173913044
Tent+SAFER-A (0%),batch_acc,23,82.8125,83.7890625
Tent+SAFER-A (0%),batch_acc,24,82.8125,83.75
Tent+SAFER-A (0%),batch_acc,25,89.0625,84.375
Tent+SAFER-A (0%),batch_acc,26,85.9375,84.875
Tent+SAFER-A (0%),batch_acc,27,78.125,84.75
Tent+SAFER-A (0%),batch_acc,28,73.4375,84.375
Tent+SAFER-A (0%),batch_acc,29,90.625,84.6875
Tent+SAFER-A (0%),batch_acc,30,90.625,84.5625
Tent+SAFER-A (0%),batch_acc,31,82.8125,84.5625
Tent+SAFER-A (0%),batch_acc,32,87.5,84.625
Tent+SAFER-A (0%),batch_acc,33,82.8125,84.625
Tent+SAFER-A (0%),batch_acc,34,87.5,85.0
Tent+SAFER-A (0%),batch_acc,35,92.1875,85.3125
Tent+SAFER-A (0%),batch_acc,36,75.0,85.25
Tent+SAFER-A (0%),batch_acc,37,76.5625,84.8125
Tent+SAFER-A (0%),batch_acc,38,75.0,84.3125
Tent+SAFER-A (0%),batch_acc,39,87.5,84.5
Tent+SAFER-A (0%),batch_acc,40,82.8125,84.3125
Tent+SAFER-A (0%),batch_acc,41,76.5625,83.75
Tent+SAFER-A (0%),batch_acc,42,89.0625,84.0
Tent+SAFER-A (0%),batch_acc,43,82.8125,83.75
Tent+SAFER-A (0%),batch_acc,44,84.375,83.625
Tent+SAFER-A (0%),batch_acc,45,84.375,83.6875
Tent+SAFER-A (0%),batch_acc,46,92.1875,84.0
Tent+SAFER-A (0%),batch_acc,47,76.5625,83.5625
Tent+SAFER-A (0%),batch_acc,48,87.5,83.75
Tent+SAFER-A (0%),batch_acc,49,90.625,84.0625
